year,ann_inc,unc
1959.0,0.96,0.31
1960.0,0.71,0.27
1961.0,0.78,0.27
1962.0,0.56,0.27
1963.0,0.57,0.28
1964.0,0.49,0.27
1965.0,1.1,0.26
1966.0,1.1,0.28
1967.0,0.61,0.34
1968.0,0.99,0.32
1969.0,1.32,0.29
1970.0,1.13,0.32
1971.0,0.73,0.3
1972.0,1.47,0.31
1973.0,1.46,0.31
1974.0,0.68,0.31
1975.0,1.23,0.27
1976.0,0.97,0.28
1977.0,1.92,0.29
1978.0,1.29,0.24
1979.0,2.14,0.26
1980.0,1.71,0.1
1981.0,1.15,0.05
1982.0,1.0,0.08
1983.0,1.83,0.09
1984.0,1.23,0.11
1985.0,1.65,0.08
1986.0,1.02,0.1
1987.0,2.65,0.09
1988.0,2.16,0.1
1989.0,1.46,0.09
1990.0,1.22,0.07
1991.0,0.75,0.1
1992.0,0.72,0.09
1993.0,1.23,0.07
1994.0,1.66,0.11
1995.0,2.0,0.1
1996.0,1.05,0.08
1997.0,1.97,0.09
1998.0,2.84,0.13
1999.0,1.33,0.09
2000.0,1.25,0.11
2001.0,1.85,0.1
2002.0,2.37,0.07
2003.0,2.29,0.1
2004.0,1.56,0.05
2005.0,2.47,0.07
2006.0,1.77,0.07
2007.0,2.12,0.07
2008.0,1.78,0.05
2009.0,1.58,0.06
2010.0,2.41,0.06
2011.0,1.68,0.07
2012.0,2.41,0.06
2013.0,2.45,0.06
2014.0,2.04,0.07
2015.0,2.95,0.08
2016.0,2.84,0.08
2017.0,2.14,0.09
2018.0,2.39,0.09
2019.0,2.5,0.06
2020.0,2.29,0.08
2021.0,2.47,0.08
2022.0,2.17,0.08
2023.0,2.82,0.08
