year,ann_inc,unc
1959.0,0.94,0.11
1960.0,0.5,0.11
1961.0,0.96,0.11
1962.0,0.65,0.11
1963.0,0.71,0.11
1964.0,0.31,0.11
1965.0,1.06,0.11
1966.0,1.28,0.11
1967.0,0.69,0.11
1968.0,1.06,0.11
1969.0,1.35,0.11
1970.0,1.0,0.11
1971.0,0.8,0.11
1972.0,1.74,0.11
1973.0,1.18,0.11
1974.0,0.96,0.11
1975.0,1.09,0.11
1976.0,0.79,0.11
1977.0,2.15,0.11
1978.0,1.31,0.11
1979.0,1.83,0.11
1980.0,1.68,0.11
1981.0,1.43,0.11
1982.0,0.86,0.11
1983.0,2.36,0.11
1984.0,1.51,0.11
1985.0,1.21,0.11
1986.0,1.47,0.11
1987.0,2.06,0.11
1988.0,2.24,0.11
1989.0,1.24,0.11
1990.0,1.2,0.11
1991.0,1.05,0.11
1992.0,0.49,0.11
1993.0,1.36,0.11
1994.0,1.95,0.11
1995.0,2.01,0.11
1996.0,1.24,0.11
1997.0,1.91,0.11
1998.0,2.97,0.11
1999.0,0.92,0.11
2000.0,1.62,0.11
2001.0,1.62,0.11
2002.0,2.51,0.11
2003.0,2.26,0.11
2004.0,1.59,0.11
2005.0,2.57,0.11
2006.0,1.69,0.11
2007.0,2.31,0.11
2008.0,1.54,0.11
2009.0,2.0,0.11
2010.0,2.3,0.11
2011.0,1.92,0.11
2012.0,2.65,0.11
2013.0,1.99,0.11
2014.0,2.17,0.11
2015.0,2.95,0.11
2016.0,3.03,0.11
2017.0,1.91,0.11
2018.0,2.83,0.11
2019.0,2.49,0.11
2020.0,2.26,0.11
2021.0,2.38,0.11
2022.0,1.81,0.11
2023.0,3.37,0.11
