year,month,day,decimal,average,ndays,1_year_ago,10_years_ago,increase_since_1800
,,,,,,,,
1974.0,5.0,19.0,1974.3795,333.37,5.0,,,50.4
1974.0,5.0,26.0,1974.3986,332.95,6.0,,,50.06
1974.0,6.0,2.0,1974.4178,332.35,5.0,,,49.6
1974.0,6.0,9.0,1974.437,332.2,7.0,,,49.65
1974.0,6.0,16.0,1974.4562,332.37,7.0,,,50.06
1974.0,6.0,23.0,1974.4753,331.73,5.0,,,49.72
1974.0,6.0,30.0,1974.4945,331.69,6.0,,,50.02
1974.0,7.0,7.0,1974.5137,331.46,6.0,,,50.2
1974.0,7.0,14.0,1974.5329,330.83,5.0,,,50.01
1974.0,7.0,21.0,1974.5521,330.76,7.0,,,50.41
1974.0,7.0,28.0,1974.5712,329.81,4.0,,,49.97
1974.0,8.0,4.0,1974.5904,329.85,5.0,,,50.54
1974.0,8.0,11.0,1974.6096,329.15,5.0,,,50.37
1974.0,8.0,18.0,1974.6288,329.06,6.0,,,50.8
1974.0,8.0,25.0,1974.6479,328.33,7.0,,,50.54
1974.0,9.0,1.0,1974.6671,328.06,5.0,,,50.68
1974.0,9.0,8.0,1974.6863,327.56,4.0,,,50.53
1974.0,9.0,15.0,1974.7055,326.72,6.0,,,49.95
1974.0,9.0,22.0,1974.7247,326.99,5.0,,,50.37
1974.0,9.0,29.0,1974.7438,327.31,5.0,,,50.76
1974.0,10.0,6.0,1974.763,327.07,6.0,,,50.49
1974.0,10.0,13.0,1974.7822,327.23,5.0,,,50.53
1974.0,10.0,20.0,1974.8014,327.4,5.0,,,50.51
1974.0,10.0,27.0,1974.8205,327.64,7.0,,,50.5
1974.0,11.0,3.0,1974.8397,327.8,7.0,,,50.39
1974.0,11.0,10.0,1974.8589,328.5,6.0,,,50.79
1974.0,11.0,17.0,1974.8781,328.61,6.0,,,50.59
1974.0,11.0,24.0,1974.8973,328.46,5.0,,,50.15
1974.0,12.0,1.0,1974.9164,328.8,5.0,,,50.2
1974.0,12.0,8.0,1974.9356,329.39,7.0,,,50.53
1974.0,12.0,15.0,1974.9548,329.78,7.0,,,50.68
1974.0,12.0,22.0,1974.974,329.96,7.0,,,50.64
1974.0,12.0,29.0,1974.9932,330.38,7.0,,,50.86
1975.0,1.0,5.0,1975.0123,330.49,6.0,,,50.79
1975.0,1.0,12.0,1975.0315,330.59,7.0,,,50.71
1975.0,1.0,19.0,1975.0507,330.79,7.0,,,50.74
1975.0,1.0,26.0,1975.0699,331.24,7.0,,,51.02
1975.0,2.0,2.0,1975.089,331.64,6.0,,,51.26
1975.0,2.0,9.0,1975.1082,331.11,7.0,,,50.54
1975.0,2.0,16.0,1975.1274,331.42,6.0,,,50.66
1975.0,2.0,23.0,1975.1466,331.96,7.0,,,50.99
1975.0,3.0,2.0,1975.1658,331.77,3.0,,,50.58
1975.0,3.0,9.0,1975.1849,331.64,5.0,,,50.22
1975.0,3.0,16.0,1975.2041,332.11,5.0,,,50.45
1975.0,3.0,23.0,1975.2233,331.9,3.0,,,49.98
1975.0,3.0,30.0,1975.2425,333.3,5.0,,,51.15
1975.0,4.0,6.0,1975.2616,332.78,5.0,,,50.4
1975.0,4.0,13.0,1975.2808,333.16,3.0,,,50.57
1975.0,4.0,20.0,1975.3,333.28,6.0,,,50.52
1975.0,4.0,27.0,1975.3192,333.48,7.0,,,50.59
1975.0,5.0,4.0,1975.3384,333.94,7.0,,,50.96
1975.0,5.0,11.0,1975.3575,334.25,6.0,,,51.24
1975.0,5.0,18.0,1975.3767,333.46,5.0,,,50.48
1975.0,5.0,25.0,1975.3959,334.0,7.0,332.95,,51.09
1975.0,6.0,1.0,1975.4151,333.96,7.0,332.44,,51.18
1975.0,6.0,8.0,1975.4342,333.19,6.0,332.2,,50.61
1975.0,6.0,15.0,1975.4534,333.23,7.0,332.32,,50.88
1975.0,6.0,22.0,1975.4726,333.5,6.0,331.83,,51.45
1975.0,6.0,29.0,1975.4918,333.0,6.0,331.72,,51.29
1975.0,7.0,6.0,1975.511,332.32,6.0,331.5,,50.99
1975.0,7.0,13.0,1975.5301,331.83,5.0,330.95,,50.94
1975.0,7.0,20.0,1975.5493,331.37,4.0,330.79,,50.95
1975.0,7.0,27.0,1975.5685,331.22,5.0,329.97,,51.31
1975.0,8.0,3.0,1975.5877,331.01,6.0,329.93,,51.63
1975.0,8.0,10.0,1975.6068,330.38,5.0,329.15,,51.53
1975.0,8.0,17.0,1975.626,329.48,6.0,329.21,,51.15
1975.0,8.0,24.0,1975.6452,328.73,5.0,328.39,,50.87
1975.0,8.0,31.0,1975.6644,329.32,5.0,328.09,,51.89
1975.0,9.0,7.0,1975.6836,329.42,3.0,327.74,,52.35
1975.0,9.0,14.0,1975.7027,327.94,7.0,326.84,,51.14
1975.0,9.0,21.0,1975.7219,327.95,5.0,326.73,,51.32
1975.0,9.0,28.0,1975.7411,327.97,5.0,327.52,,51.42
1975.0,10.0,5.0,1975.7603,,0.0,326.98,,
