Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
2002.0,-0.094,-0.387,-0.304,-0.311,-0.191,-0.4,-0.267,-0.113,-0.292,-0.424,-0.347,-0.473,-0.293,-0.33,-0.318,-0.269,-0.26,-0.354
2003.0,-0.094,-0.387,-0.304,-0.311,-0.191,-0.4,-0.267,-0.113,-0.108,0.276,-1.582,-0.029,-0.293,-0.33,-0.318,-0.269,-0.26,-0.471
2004.0,-0.043,0.113,-0.124,-0.298,-0.482,-0.428,-0.27,-0.385,-0.337,-0.37,-0.161,-0.376,-0.263,-0.234,0.013,-0.301,-0.361,-0.289
2005.0,-0.064,-0.333,-0.181,-0.07,0.05,-0.04,-0.03,-0.162,0.01,0.022,0.063,-0.055,-0.066,-0.093,-0.258,-0.067,-0.077,0.032
2006.0,-0.172,0.319,-0.138,-0.268,-0.077,-0.054,-0.18,-0.212,-0.09,-0.043,-0.085,0.036,-0.08,-0.088,0.031,-0.161,-0.148,-0.073
2007.0,0.29,0.049,-0.067,0.122,-0.18,-0.142,-0.096,-0.076,-0.182,-0.035,-0.076,-0.206,-0.05,-0.03,0.125,-0.042,-0.105,-0.098
2008.0,-0.553,-0.36,0.1,-0.272,-0.193,-0.283,-0.256,-0.283,-0.281,-0.135,-0.049,-0.113,-0.223,-0.231,-0.373,-0.122,-0.274,-0.155
2009.0,-0.083,0.108,-0.245,-0.271,-0.287,-0.104,-0.069,-0.111,0.016,-0.153,-0.111,-0.009,-0.11,-0.119,-0.03,-0.268,-0.095,-0.083
2010.0,0.013,0.131,0.072,0.122,0.136,0.044,0.101,0.105,-0.101,-0.066,0.236,-0.091,0.058,0.065,0.045,0.11,0.083,0.023
2011.0,-0.15,-0.269,-0.142,-0.073,-0.062,-0.056,-0.022,-0.046,-0.122,-0.028,-0.384,-0.167,-0.127,-0.12,-0.17,-0.093,-0.041,-0.178
2012.0,-0.257,-0.305,-0.403,-0.009,0.116,0.09,0.025,-0.04,0.084,0.029,-0.048,-0.314,-0.086,-0.074,-0.243,-0.098,0.025,0.022
2013.0,-0.005,-0.151,-0.028,-0.269,-0.05,-0.084,-0.182,-0.162,-0.165,-0.14,0.045,0.056,-0.095,-0.125,-0.157,-0.116,-0.143,-0.087
2014.0,0.09,-0.144,-0.143,0.109,0.113,0.035,0.097,0.179,0.047,0.064,-0.108,0.161,0.042,0.033,0.0,0.026,0.104,0.001
2015.0,0.147,0.24,0.171,0.023,0.134,0.136,0.116,0.139,0.268,0.315,0.178,0.397,0.189,0.169,0.183,0.109,0.13,0.254
2016.0,0.507,0.701,0.684,0.517,0.274,0.366,0.286,0.294,0.436,0.149,0.316,0.286,0.402,0.411,0.535,0.492,0.315,0.3
2017.0,0.423,0.466,0.498,0.19,0.126,0.137,0.211,0.232,0.197,0.045,0.11,0.394,0.253,0.244,0.392,0.271,0.194,0.117
2018.0,0.21,0.301,0.097,0.021,0.052,0.034,0.063,-0.017,0.05,0.333,-0.084,0.103,0.097,0.121,0.302,0.057,0.026,0.1
2019.0,0.248,0.31,0.536,0.323,0.271,0.43,0.363,0.269,0.463,0.454,0.282,0.445,0.366,0.338,0.22,0.377,0.354,0.399
2020.0,0.397,0.563,0.505,0.364,0.374,0.384,0.357,0.566,0.295,0.356,0.494,0.281,0.411,0.425,0.468,0.414,0.436,0.382
2021.0,0.395,0.381,0.181,0.197,0.245,0.348,0.258,0.179,0.097,0.037,0.001,-0.023,0.191,0.217,0.352,0.208,0.262,0.045
2022.0,0.111,0.072,0.153,0.324,-0.09,0.07,-0.019,0.097,0.08,0.648,-0.715,-0.025,0.059,0.059,0.053,0.129,0.05,0.004
2023.0,0.155,0.096,0.383,-0.121,0.042,0.132,0.366,0.449,0.538,0.579,0.458,0.526,0.3,0.254,0.076,0.102,0.316,0.525
2024.0,0.387,0.664,0.426,0.52,0.367,0.076,0.2838,0.3722,0.3895,0.38975,0.313,0.3135,0.21559999999999999,0.17099999999999999,0.526,0.438,0.2442,0.364
2016.6666666666667,0.2985,0.41900000000000004,0.26349999999999996,0.34325,0.285,0.01999999999999999,0.2016,0.2954,0.241,0.2005,0.16799999999999998,0.10099999999999998,0.13119999999999998,0.088,0.34400000000000003,0.2975,0.1724,0.203
2009.3333333333333,0.21000000000000002,0.17400000000000004,0.10099999999999998,0.16649999999999998,0.20299999999999999,-0.03600000000000003,0.1194,0.2186,0.09249999999999997,0.011249999999999982,0.022999999999999965,-0.11150000000000004,0.04680000000000001,0.0050000000000000044,0.16200000000000003,0.15699999999999997,0.1006,0.04200000000000004
2002.0,0.12150000000000005,-0.07099999999999995,-0.061500000000000055,-0.010250000000000092,0.121,-0.09200000000000003,0.03720000000000001,0.14179999999999998,-0.056,-0.178,-0.122,-0.324,-0.03760000000000002,-0.07800000000000001,-0.020000000000000018,0.01649999999999996,0.028799999999999992,-0.119
2003.0,0.033,-0.316,-0.224,-0.187,0.039,-0.148,-0.045,0.065,0.061,0.447,-1.327,0.138,-0.122,-0.161,-0.202,-0.124,-0.043,-0.273
2004.0,-0.016,0.152,0.006,-0.156,-0.326,-0.267,-0.155,-0.308,-0.189,-0.19,-0.0,-0.298,-0.146,-0.109,0.091,-0.159,-0.244,-0.126
2005.0,0.042,-0.111,0.032,0.047,0.148,0.055,0.014,-0.139,0.1,0.098,0.161,0.036,0.04,0.013,-0.122,0.076,-0.023,0.12
2006.0,-0.183,0.313,-0.039,-0.244,-0.008,-0.027,-0.157,-0.17,-0.026,-0.004,-0.037,0.127,-0.038,-0.045,0.055,-0.097,-0.118,-0.022
2007.0,0.356,0.124,0.017,0.123,-0.133,-0.154,-0.094,-0.092,-0.185,-0.007,-0.02,-0.122,-0.016,0.005,0.202,0.002,-0.113,-0.07
2008.0,-0.621,-0.363,0.225,-0.241,-0.197,-0.283,-0.263,-0.261,-0.285,-0.115,-0.016,-0.123,-0.212,-0.212,-0.369,-0.071,-0.269,-0.138
2009.0,-0.041,-0.021,-1.091,-0.32,-0.284,-0.125,-0.057,-0.096,0.03,-0.155,-0.139,-0.046,-0.195,-0.202,-0.062,-0.565,-0.093,-0.088
2010.0,0.002,0.046,0.156,0.124,0.084,0.023,0.021,0.049,-0.124,-0.062,0.24,-0.103,0.038,0.043,0.001,0.121,0.031,0.018
2011.0,-0.207,-0.19,-0.059,-0.116,-0.114,-0.081,-0.012,-0.052,-0.107,-0.069,-0.353,-0.139,-0.125,-0.122,-0.167,-0.096,-0.048,-0.176
2012.0,-0.25,-0.29,-0.272,0.021,0.144,0.11,-0.0,-0.07,0.071,0.044,-0.046,-0.372,-0.076,-0.057,-0.226,-0.036,0.013,0.023
2013.0,-0.042,-0.274,-0.016,-0.296,-0.122,-0.085,-0.194,-0.187,-0.21,-0.129,0.025,0.052,-0.123,-0.159,-0.229,-0.145,-0.155,-0.105
2014.0,0.086,-0.168,-0.045,0.171,0.122,0.091,0.13,0.204,0.048,0.074,-0.117,0.172,0.064,0.054,-0.01,0.082,0.142,0.002
2015.0,0.174,0.291,0.298,0.049,0.2,0.16,0.198,0.226,0.32,0.336,0.187,0.426,0.239,0.217,0.212,0.182,0.194,0.281
2016.0,0.545,0.847,0.788,0.486,0.3,0.344,0.271,0.28,0.441,0.082,0.238,0.256,0.406,0.421,0.606,0.524,0.298,0.254
2017.0,0.423,0.532,0.575,0.175,0.138,0.128,0.158,0.171,0.137,0.032,0.062,0.361,0.241,0.232,0.403,0.296,0.152,0.077
2018.0,0.137,0.349,0.217,0.0,0.088,0.02,0.066,-0.031,0.03,0.281,-0.151,0.013,0.085,0.114,0.282,0.102,0.018,0.053
2019.0,0.132,0.149,0.582,0.269,0.267,0.402,0.355,0.267,0.386,0.389,0.185,0.356,0.312,0.283,0.098,0.373,0.341,0.32
2020.0,0.401,0.654,0.56,0.442,0.45,0.368,0.351,0.527,0.336,0.371,0.501,0.232,0.433,0.443,0.47,0.484,0.416,0.403
2021.0,0.311,0.281,0.246,0.217,0.26,0.333,0.26,0.177,0.127,0.197,0.179,0.127,0.226,0.235,0.275,0.241,0.257,0.167
2022.0,0.28,0.275,0.462,0.706,0.119,0.293,0.207,0.236,0.225,0.256,-0.086,0.145,0.26,0.258,0.227,0.429,0.246,0.132
2023.0,0.249,0.301,0.635,0.056,0.292,0.418,0.629,0.63,0.715,0.723,0.64,0.674,0.497,0.453,0.232,0.328,0.559,0.693
2024.0,0.585,0.842,0.682,0.684,0.525,0.27749999999999997,0.44225000000000003,0.4075,0.48424999999999996,0.44475,0.42800000000000005,0.3985,0.32825,0.30025,0.7,0.63,0.37575000000000003,0.45249999999999996
2016.6666666666667,0.42066666666666663,0.6476666666666666,0.4736666666666667,0.30100000000000005,0.24400000000000005,0.137,0.2555,0.185,0.2535,0.16649999999999998,0.21600000000000003,0.123,0.15949999999999998,0.14750000000000002,0.4836666666666667,0.3393333333333333,0.1925,0.21199999999999997
2009.3333333333333,0.2563333333333333,0.4533333333333333,0.26533333333333337,-0.08199999999999996,-0.03699999999999992,-0.003500000000000003,0.06874999999999998,-0.03749999999999998,0.022750000000000048,-0.11175000000000002,0.0040000000000000036,-0.15249999999999997,-0.009250000000000091,-0.005249999999999977,0.26733333333333337,0.048666666666666636,0.00924999999999998,-0.02850000000000008
2002.0,0.092,0.259,0.057,-0.465,-0.318,-0.144,-0.118,-0.26,-0.208,-0.39,-0.208,-0.428,-0.178,-0.158,0.051,-0.242,-0.174,-0.269
2003.0,-0.002,-0.329,-0.398,-0.366,-0.119,-0.28,-0.1,0.048,-0.05,0.06,-0.33,0.132,-0.144,-0.191,-0.253,-0.294,-0.111,-0.107
